Id,Word,Transcription
84412,TUCH,T AH CH
84413,STERILIZER,S T EH R AH L AY Z ER
84414,TEXT,T EH K S T
84415,RISTER,R IH S T ER
84416,HARDY,HH AA R D IY
84417,UMBILICAL,AH M B IH L IH K AH L
84418,HINMEN,HH IH N M EH N
84419,CALVARY,K AE L V ER IY
84420,QUIRY,K W AY R IY
84421,EGELSTON,EH G IH L S T AH N
84422,CEREMONIAL,S EH R AH M OW N IY AH L
84423,BIRTH,B ER TH
84424,DIRECTS,D AY R EH K T S
84425,KUBES,K UW B EH S
84426,BONFIRE,B AA N F AY ER
84427,EBLIN,EH B L IH N
84428,CATERPILLAR,K AE T AH P IH L ER
84429,SCHANBACHER,SH AE N B AA K ER
84430,TOWARDS,T AH W AO R D Z
84431,VANDEVENTER,V AE N D AH V AH N T ER
84432,WITHEY,W IH TH IY
84433,SOMER,S AH M ER
84434,NURR,N ER
84435,RAGO,R AA G OW
84436,RAPID,R AE P IH D
84437,GETTER,G EH T ER
84438,LURLENE,L ER L IY N
84439,MISTRIALS,M IH S T R AY AH L Z
84440,UNPRODUCTIVE,AH N P R AH D AH K T IH V
84441,DIATONIC,D AY AH T AA N IH K
84442,STEAMED,S T IY M D
84443,LIPKIN,L IH P K IH N
84444,LITCHFIELD'S,L IH CH F IY L D Z
84445,PAYTON,P EY T AH N
84446,SOUVENIRS,S UW V AH N IH R Z
84447,HEMO,HH IY M OW
84448,STAHLHUT,S T AA L HH AH T
84449,MORRICONE'S,M AO R AH K OW N IY Z
84450,BRACKETS,B R AE K IH T S
84451,AMES',EY M Z
84452,EQUATING,IH K W EY T IH NG
84453,MESMER,M EH Z M ER
84454,PUNCTURED,P AH NG K CH ER D
84455,GUERRINI,G ER IY N IY
84456,KOJIMA,K AH Y AY M AH
84457,DRAMAMINE,D R AE M AH M IY N
84458,UNISOURCE,Y UW N IH S AO R S
84459,SPRAGUE'S,S P R EY G Z
84460,ESBENSHADE,EH S B AH N SH EY D
84461,THORNSBURY,TH AO R N Z B EH R IY
84462,SHIELD,SH IY L D
84463,ADELPHIA,AH D EH L F IY AH
84464,GEOWORKS,JH IY OW W ER K S
84465,DECIPHERING,D AH S AY F ER IH NG
84466,MAHTAR,M AA T ER
84467,CARLL,K AA R L
84468,SPOIL,S P OY L
84469,IMMUNIZING,IH M Y AH N AY Z IH NG
84470,CLOSEUPS,K L OW S AH P S
84471,WHITEHEAD'S,W AY T HH EH D Z
84472,DEBUTED,D EY B Y UW D
84473,MIZELLE,M IH Z EH L
84474,WALLOPS,W AA L AH P S
84475,MCQUITTY,M AH K W IH T IY
84476,MALICE,M AE L AH S
84477,CROSSROAD,K R AO S R OW D
84478,GROUPS,G R UW P S
84479,HOMILY,HH AA M AH L IY
84480,DONUTS,D OW N AH T S
84481,ADEE,AH D IY
84482,TINKERER,T IH NG K ER ER
84483,FERRERO,F EH R EH R OW
84484,HE'S,HH IY Z
84485,OVERBOOKED,OW V ER B UH K T
84486,DERAILED,D IH R EY L D
84487,KOBUS,K OW B AH S
84488,HEICK,HH AY K
84489,HENRIKA,HH EH N R IH K AH
84490,BITZER,B IH T Z ER
84491,MENAKER,M EH N AH K ER
84492,CANO,K AA N OW
84493,WIXTED,W IH K S T IH D
84494,MCSHEA,M AH K SH EY
84495,MOSSBERG,M AO S B ER G
84496,MAJEWSKI,M AY EH F S K IY
84497,RETURNEE,R IH T ER N IY
84498,IVOR,AY V ER
84499,TYRRELL,T AY R EH L
84500,CIRCULARIZING,S ER K Y AH L ER AY Z IH NG
84501,FOTOPOULOS,F AH T AA P AH L IH S
84502,MISSTATEMENT,M IH S T EY T M AH N T
84503,VANWORMER,V AE N W ER M ER
84504,AMYOTROPHIC,AE M IY AH T R OW F IH K
84505,RUNZHEIMER,R AH N Z HH AY M ER
84506,LOFASO,L OW F AA S OW
84507,PUTHOFF,P AH T HH AO F
84508,PASSMORE,P AA S M AO R
84509,WOODROME,W UH D R AH M
84510,LAMAMRA,L AH M AA M R AH
84511,SCHIEMANN,SH IY M AH N
84512,PREFERENTIALLY,P R EH F ER EH N CH AH L IY
84513,YONTZ,Y AA N T S
84514,ESPECIAL,AH S P EH SH AH L
84515,LOVED,L AH V D
84516,INUNDATION,IH N AH N D EY SH AH N
84517,ALPERIN,AE L P ER IH N
84518,LEWINSKY'S,L UW IH N S K IY Z
84519,HOTCHKIN,HH AA CH K IH N
84520,KNAPPER,N AE P ER
84521,GLASPIE,G L AE S P IY
84522,ZYGMUNT,Z IH G M AH N T
84523,EXPOUNDS,IH K S P AW N D Z
84524,TONEGAWA,T OW N IH G AA W AH
84525,HERREN,HH EH R AH N
84526,ROKICKI,R AH K IH K IY
84527,PEASANT,P EH Z AH N T
84528,INNARD,IH N ER D
84529,BEHREND,B EH R EH N D
84530,NORSK,N AO R S K
84531,LIS,L IH S
84532,SANDWICHES,S AE N D W IH CH IH Z
84533,FORSGREN,F AO R S G R EH N
84534,PHOTOGRAPHY,F AH T AA G R AH F IY
84535,JOKES,JH OW K S
84536,MALRITE,M AE L R AY T
84537,ERIKSEN,EH R IH K S AH N
84538,GUEVARA,G EY V AA R AH
84539,COTTRELL,K AA T R EH L
84540,ELLSBERG'S,EH L Z B ER G Z
84541,MINDEN,M AY N D AH N
84542,TALLYHO,T AE L IY HH OW
84543,FROLO,F R OW L OW
84544,BABYSAT,B EY B IY S AE T
84545,JIHAD,JH IY HH AE D
84546,RECAPITALIZATIONS,R IY K AE P AH T AH L AH Z EY SH AH N Z
84547,SICKENING,S IH K AH N IH NG
84548,PHYSICIANS,F AH Z IH SH AH N Z
84549,GLEEFUL,G L IY F AH L
84550,ELABORATES,IH L AE B ER EY T S
84551,SADAO,S AH D AW
84552,SMOTHERS,S M AH DH ER Z
84553,PHINEAS,F IH N IY AH S
84554,HANDELSBANK,HH AE N D AH L Z B AE NG K
84555,SAG,S AE G
84556,LENINIST,L EH N IH N IH S T
84557,LEVEY,L IH V EY
84558,SHEDLOCK,SH EH D L AA K
84559,BURGIO,B ER G IY OW
84560,RAPTUROUS,R AE P CH ER AH S
84561,EVREN,EH V R AH N
84562,INTELLIGIBLY,IH N T EH L AH JH AH B L IY
84563,CASUALNESS,K AE ZH W AH L N EH S
84564,EUROMISSILE,Y UW R OW M IH S AH L
84565,SYMPHONY'S,S IH M F AH N IY Z
84566,BEAUFORT,B OW F ER T
84567,FOBES,F OW B Z
84568,STENCILING,S T EH N S IH L IH NG
84569,FARRIS,F EH R IH S
84570,CRESCENZO,K R EH S CH EH N Z OW
84571,IMMENSELY,IH M EH N S L IY
84572,WIEDERAUFBAU,W IY D ER AO F B AW
84573,FIREBOMB,F AY R B AA M
84574,BOND,B AA N D
84575,FULTON,F UH L T AH N
84576,BACKLESS,B AE K L AH S
84577,SCOVIL,S K OW V AH L
84578,MAZZOCCO,M AA T S OW K OW
84579,ABDALLAH,AE B D AE L AH
84580,TOOTS,T UW T S
84581,FEREBEE,F EH R IH B IY
84582,CETUS'S,S IY T AH S IH Z
84583,KOWALKOWSKI,K AA W AO K AO F S K IY
84584,CERVECERIA,S ER V AH S IH R IY AH
84585,RATER,R EY T ER
84586,NUGGETS,N AH G AH T S
84587,NEW-LONDON,N UW L AH N D AH N
84588,DINICOLA,D IH N IY K OW L AH
84589,OBIE,OW B IY
84590,CLEANUPS,K L IY N AH P S
84591,PIRANHA,P IH R AE N HH AH
84592,DRUGSTORE,D R AH G S T AO R
84593,PROCH,P R AA K
84594,STRESSES,S T R EH S IH Z
84595,ARTIST'S,AA R T IH S T S
84596,DELUSION,D IH L UW ZH AH N
84597,ARAL,AA R AA L
84598,XUE,Z UW
84599,FINEVEST,F AY N V EH S T
84600,KINDLER,K IH N D L ER
84601,LUNDGREN,L AH N D G R EH N
84602,WHIZZED,W IH Z D
84603,COUCHETTE,K UW SH EH T
84604,ROSITA,R OW Z IY T AH
84605,NATURALISTS,N AE CH ER AH L IH S T S
84606,FONDIARIA,F AA N D IY EH R IY AH
84607,HOBSON'S,HH AA B S AH N Z
84608,SHUTOUT,SH AH T AW T
84609,NICHOLAS,N IH K L AH S
84610,SMITHER,S M IH DH ER
84611,WICKERHAM,W IH K ER HH AE M
84612,MOUNTAINTOPS,M AW N T AH N T AA P S
84613,CACERES,K AA S EH R EH S
84614,MISDEEDS,M IH S D IY D Z
84615,MINNA,M IH N AH
84616,SUPREME,S ER P R IY M
84617,KNEPPER,N EH P ER
84618,PINEAU,P IH N OW
84619,PRODUCTIVELY,P ER D AH K T IH V L IY
84620,FJELSTAD,F Y EH L S T AH D
84621,TINNON,T IH N AH N
84622,UNDERLINES,AH N D ER L AY N Z
84623,SWELL,S W EH L
84624,PROMULGATED,P R AA M AH L G EY T AH D
84625,REACTIVE,R IY AE K T IH V
84626,SAMURAI'S,S AE M ER AY Z
84627,CARBO,K AA R B OW
84628,MAYHUE,M EY HH Y UW
84629,CROWN'S,K R AW N Z
84630,CONSEQUENTLY,K AA N S AH K W AH N T L IY
84631,STYLIZE,S T AY AH L AY Z
84632,WAMBLE,W AA M B AH L
84633,WIMBLEDON,W IH M B AH L D AH N
84634,BERTELSON,B ER T IH L S AH N
84635,BOSSEN,B AA S AH N
84636,PAGENKOPF,P AE G AH N K AO P F
84637,GOSORNSTEM,G AH S AO R N S T EH M
84638,ROBY,R OW B IY
84639,DROMEDARY,D R AA M AH D EH R IY
84640,AFFIDAVIT,AE F AH D EY V AH T
84641,MICHAELA,M AY K EH L AH
84642,BARTER,B AA R T ER
84643,MASAKI,M AA S AA K IY
84644,MUSCLED,M AH S AH L D
84645,BHUTTO,B UW T OW
84646,NARROWING,N EH R OW IH NG
84647,BALIN,B AE L IH N
84648,YELVINGTON,Y EH L V IH NG T AH N
84649,CARRERO,K AA R EH R OW
84650,MANGEN,M AE NG AH N
84651,SCROD,S K R AA D
84652,LUMBERING,L AH M B ER IH NG
84653,CROKER,K R OW K ER
84654,MELITA,M EH L IY T AH
84655,WILDCAT,W AY L D K AE T
84656,TURBEN,T ER B AH N
84657,YEARGAN,Y ER G AH N
84658,GATRELL,G AE T R AH L
84659,BEEL,B IY L
84660,GLANZMAN,G L AE N Z M AH N
84661,SEMITIC,S AH M IH T IH K
84662,INCAPACITATION,IH N K AH P AE S IH T EY SH AH N
84663,BERENT,B EH R AH N T
84664,ROBINETTE,R AA B IH N EH T
84665,CALIFORNIAN,K AE L IH F AO R N Y AH N
84666,OVERTURNED,OW V ER T ER N D
84667,PRESSLEY,P R EH S L IY
84668,DIRECTORY,D AY R EH K T ER IY
84669,MANNINA,M AE N IH N AH
84670,SUMMER,S AH M ER
84671,ISOMEDIX,AY S OW M EH D IH K S
84672,PALESTINE,P AE L AH S T AY N
84673,RITT'S,R IH T S
84674,CYCLICAL,S AY K L IH K AH L
84675,LHEUREUX,L ER OW
84676,FRASIER,F R EY ZH ER
84677,MANIPULATES,M AH N IH P Y AH L EY T S
84678,BOGUS,B OW G AH S
84679,VIBRATIONS,V AY B R EY SH AH N Z
84680,SHAMANS,SH EY M AH N Z
84681,BELLAVIA,B EH L AA V IY AH
84682,CITADEL'S,S IH T AH D EH L Z
84683,PICKANDS,P IH K AH N D Z
84684,HACHTEL,HH AE K T AH L
84685,LINNET,L IH N IH T
84686,SHEARN,SH IH R N
84687,WALDREP,W AO L D R AH P
84688,QUINTON,K W IH N T AO N
84689,MADOCK,M AE D AH K
84690,OBSESSES,AH B S EH S IH Z
84691,BOELMAN,B OW L M AH N
84692,VICEROY,V AY S R OY
84693,TEDESCHI,T EH D EH S K IY
84694,ACHESON,AE CH AH S AH N
84695,CHERNOMYRDIN,CH EH R N OW M IH R D AH N
84696,QUITO,K W IY T OW
84697,NOSTRUMS,N AA S T R AH M Z
84698,MATEWAN,M AE T UW AA N
84699,MANZI'S,M AE N Z IY Z
84700,CIMENTS,S IH M EH N T S
84701,SOX,S AA K S
84702,TOENJES,T OW N JH IH Z
84703,BIJELJINA,B IH JH EH L JH IY N AH
84704,KENTE,K EH N T EY
84705,LINCKS,L IH NG K S
84706,BRUCATO,B R UW K AA T OW
84707,COMPARABLE,K AH M P R AH B AH L
84708,SHENBERGER,SH EH N B ER G ER
84709,BECKOM,B EH K AA M
84710,WAGNON,W AE G N AH N
84711,PROVINCE,P R AA V IH N S
84712,OUTPERFORMING,AW T P ER F AO R M IH NG
84713,GOMOLL,G AA M AH L
84714,OCTAVE,AA K T IH V
84715,ACTIGALL,AE K T IH G AO L
84716,OTERO,OW T EH R OW
84717,APPLEBERRY,AE P AH L B EH R IY
84718,GURIT,G Y UH R IH T
84719,CHUSTZ,CH AH S T S
84720,PRESSLER,P R EH S L ER
84721,SADISTIC,S AH D IH S T IH K
84722,SOUTHAM,S AW TH AH M
84723,CHEATUM,CH IY T AH M
84724,SQUARES,S K W EH R Z
84725,PLAINVIEW,P L EY N V Y UW
84726,CRAVER,K R EY V ER
84727,KHAKI,K AE K IY
84728,POLLAND,P AA L AH N D
84729,ADVISORY,AE D V AY Z ER IY
84730,GUTSY,G AH T S IY
84731,ELEMENTARY,EH L AH M EH N T R IY
84732,PROFANE,P R OW F EY N
84733,GRIZZARD,G R IH Z ER D
84734,UNTIL,AH N T IH L
84735,ELECTS,IH L EH K T S
84736,TSAR,T S AA R
84737,REALIZED,R IY AH L AY Z D
84738,THINKPAD,TH IH NG K P AE D
84739,KIMBALL'S,K IH M B AH L Z
84740,BARDELL,B AA R D EH L
84741,DWARVES,D W AO R V Z
84742,MONOGRAMMED,M AA N AH G R AE M D
84743,GRANDSON'S,G R AE N S AH N Z
84744,EQUALS,IY K W AH L Z
84745,CONSORTIA,K AH N S AO R SH AH
84746,SHEPARDSON,SH EH P AA R D S AH N
84747,SQUABBLE,S K W AA B AH L
84748,SORES,S AO R Z
84749,WEISEMAN,W AY S AH M AH N
84750,DOUGLAS'S,D AH G L AH S IH Z
84751,GEORGESON,JH AO R JH S AH N
84752,OSSIFY,AA S AH F AY
84753,OFFICIALS,AH F IH SH AH L Z
84754,KINGHORN,K IH NG HH ER N
84755,DAYDREAMED,D EY D R IY M D
84756,BLOAT,B L OW T
84757,MICROECONOMIC,M AY K R OW EH K AH N AA M IH K
84758,RAYCHEM,R EY K EH M
84759,ATTITUDINAL,AE T AH T UW D AH N AH L
84760,BOWLER,B OW L ER
84761,BALLASTS,B AE L AH S T S
84762,MOTA,M OW T AH
84763,TALENTS,T AE L AH N T S
84764,CALYPSOS,K AH L IH P S OW Z
84765,JULIE,JH UW L IY
84766,GOODIN,G UH D AH N
84767,BAHRAIN'S,B AY R EY N Z
84768,PATRIE,P AE T ER IY
84769,SMELLING,S M EH L IH NG
84770,UGANDA,Y UW G AA N D AH
84771,LOFTIN,L AA F T IH N
84772,SHEMANSKI,SH IH M AE N S K IY
84773,RANTOUL,R AE N T UW L
84774,HAVIS,HH AE V IH S
84775,EXPOS,EH K S P OW Z
84776,REHBERGER,R EH B ER G ER
84777,KER,K ER
84778,JOCULAR,JH AA K Y AH L ER
84779,DROOL,D R UW L
84780,TURNPIKE,T ER N P AY K
84781,WELSH,W EH L SH
84782,APPENDECTOMY,AE P IH N D EH K T AH M IY
84783,BEATTY,B EY T IY
84784,CONTRADICTED,K AA N T R AH D IH K T AH D
84785,REQUISITIONED,R EH K W AH Z IH SH AH N D
84786,MCGINNITY,M AH G IH N AH T IY
84787,GIFTWARE,G IH F T W EH R
84788,GRANOFF,G R AE N AO F
84789,BOHLER,B OW L ER
84790,MCCRANEY,M AH K R AE N IY
84791,SPOTLESS,S P AA T L AH S
84792,EMERANT,EY M EH R AH N T
84793,STYGIAN,S T IH JH IY AH N
84794,LANDLORD,L AE N D L AO R D
84795,POWERPC,P AW ER P IY S IY
84796,MOB'S,M AA B Z
84797,DIABASIC,D AY AH B EY S IH K
84798,PERILS,P EH R AH L Z
84799,AILEEN,AY L IY N
84800,MISCONDUCT,M IH S K AA N D AH K T
84801,GNOME,N OW M
84802,STALKY,S T AO K IY
84803,OBRENOVICH,OW B R EH N AH V IH CH
84804,BROUDY,B R AW D IY
84805,ERIK'S,EH R IH K S
84806,NASA,N AE S AH
84807,SIPES,S AY P S
84808,MALEFACTOR,M AE L AH F AE K T ER
84809,NASBY,N AE S B IY
84810,HIMALAYA,HH IH M AH L EY AH
84811,RECYCLING,R IY S AY K AH L IH NG
84812,AIRD,EH R D
84813,PRESENTER,P R IY Z EH N T ER
84814,RANTZ,R AE N T S
84815,DEMAGGIO,D IH M AA JH IY OW
84816,BOROWIEC,B ER AW IY K
84817,DOLLEY,D AA L IY
84818,TARNOFF'S,T AA R N AO F S
84819,GURSKI,G ER S K IY
84820,BRAGER,B R EY G ER
84821,PERSONIFY,P ER S AA N AH F AY
84822,GLOAMING,G L OW M IH NG
84823,EDGEWISE,EH JH W AY Z
84824,VOLBERDING,V OW L B ER D IH NG
84825,BEISNER,B AY S N ER
84826,TOEPFER,T OW P F ER
84827,CREDLE,K R EH D AH L
84828,ARABLE,AE R AH B AH L
84829,REESTABLISH,R IY IH S T AE B L IH SH
84830,STANDFIELD,S T AE N D F IY L D
84831,INTERFERENCE,IH N T ER F IH R AH N S
84832,PAVES,P EY V Z
84833,LOUTH,L AW TH
84834,JARCHOW,JH AA R CH AW
84835,PAULE,P AO L
84836,MINEHAN,M IH N IH HH AE N
84837,LLEWELYN,L UW IH L IH N
84838,LALLIE,L AO L IY
84839,WAYANS,W EY AH N Z
84840,DELAPP,D EH L AH P
84841,UNFASHIONABLE,AH N F AE SH AH N AH B AH L
84842,TANARTKIT,T AE N AA R T K IH T
84843,RAINBOWS,R EY N B OW Z
84844,PORTABLE,P AO R T AH B AH L
84845,ONASSIS'S,OW N AA S IH S IH S
84846,BERTELSEN,B ER T IH L S AH N
84847,MARKAIR,M AA R K EH R
84848,TRANSGRESSIONS,T R AE N Z G R EH SH AH N Z
84849,DEXTERITY,D EH K S T EH R IH T IY
84850,CAMARENA,K AA M ER EY N AH
84851,MICROWAVING,M AY K R AH W EY V IH NG
84852,BERNSEN,B ER N S AH N
84853,ERMA'S,ER M AH Z
84854,STICKNEY,S T IH K N IY
84855,HARPO,HH AA R P OW
84856,MAHMOOD,M AA M UW D
84857,SELINA,S AH L IY N AH
84858,WARRINER,W AO R AH N ER
84859,BOYDSTUN,B OY D S T AH N
84860,PAPANDREA,P AA P AA N D R IY AH
84861,ASMARAS,AE Z M AA R AH Z
84862,BOLT,B OW L T
84863,HAGOPIAN,HH AH G OW P IY AH N
84864,ROSMAN,R AA S M AH N
84865,INDIVIDUALIST,IH N D IH V IH D UW AH L IH S T
84866,INVADED,IH N V EY D IH D
84867,CHARGERS,CH AA R JH ER Z
84868,GRESKO,G R EH S K OW
84869,HOSS,HH AA S
84870,TECHNODYNE,T EH K N OW D AY N
84871,HOUSEWIFE,HH AW S W AY F
84872,GREENSPON,G R IY N S P AA N
84873,INTERVIEWING,IH N ER V Y UW IH NG
84874,WALLED,W AO L D
84875,BLANC,B L AE NG K
84876,SUDERMAN,S UW D ER M AH N
84877,ATHENAIOS,AE TH AH N AY OW S
84878,TYRANNIES,T IH R AH N IY Z
84879,QUAY,K IY
84880,OFFICIATING,AH F IH SH IY EY T IH NG
84881,CONTRACTING,K AA N T R AE K T IH NG
84882,ALADDIN,AH L AE D IH N
84883,MITTAG,M IH T AH G
84884,PARLIAMENTS,P AA R L AH M AH N T S
84885,TUFA,T UW F AH
84886,ANTARES,AE N T EH R IY Z
84887,SAROS,S AA R OW S
84888,STAINBROOK,S T EY N B R UH K
84889,DEFERENCE,D EH F ER AH N S
84890,ALCOHOL,AE L K AH HH AA L
84891,LEONORA,L IY AH N AO R AH
84892,CRIMINALS,K R IH M AH N AH L Z
84893,CARRETTA,K AA R EH T AH
84894,LIVING,L IH V IH NG
84895,SKILLED,S K IH L D
84896,BOROSAGE,B AO R AH S IH JH
84897,MASSICOTTE,M AE S IH K AO T
84898,KUSSMAN,K AH S M AH N
84899,RUFINA,R UW F IY N AH
84900,HERRINGTON'S,HH EH R IH NG T AH N Z
84901,GUNFIRE,G AH N F AY ER
84902,INCISIONS,IH N S IH ZH AH N Z
84903,OATHS,OW DH Z
84904,GIROZENTRALE,G IH R OW Z AH N T R AA L
84905,BROKINI,B R AH K IY N IY
84906,LIQUOR,L IH K ER
84907,KAZMIERSKI,K AH Z M IH R S K IY
84908,AUST,AO S T
84909,SEYI,S EY IY
84910,STUART'S,S T Y UW ER T S
84911,MELTING,M EH L T IH NG
84912,CHMIELEWSKI,CH AH M AH L UW S K IY
84913,DEAKIN,D IY K IH N
84914,ACHAEAN,AH CH IY AH N
84915,BLUMQUIST,B L AH M K W IH S T
84916,KOTO,K OW T OW
84917,ONSLAUGHT,AO N S L AO T
84918,LAURO,L AO R OW
84919,LYSSY,L IH S IY
84920,DIVERSIFY,D AY V ER S AH F AY
84921,REOPENS,R IY OW P AH N Z
84922,SAGGING,S AE G IH NG
84923,SWAP,S W AA P
84924,ORLAN,AO R L AH N
84925,TYCE,T AY S
84926,SONNENSCHEIN,S AA N IH N SH AY N
84927,OVERPRODUCTION,OW V ER P R AH D AH K SH AH N
84928,PAYEE,P EY IY
84929,CONSOLING,K AH N S OW L IH NG
84930,TENNESSEANS,T EH N IH S IY AH N Z
84931,SMYERS,S M AY ER Z
84932,ALDWIN,AO L D W IH N
84933,GEBO,JH EY B OW
84934,COMPLEX,K AH M P L EH K S
84935,SCHLAG,SH L AE G
84936,CRYSTER,K R AY S T ER
84937,WEYMOUTH,W EY M AH TH
84938,FORMICA,F AO R M AY K AH
84939,YANOFSKY,Y AH N AA F S K IY
84940,ALMADEN,AA L M AH D EH N
84941,ANUS,EY N AH S
84942,PUBLISHERS',P AH B L IH SH ER Z
84943,PHRASING,F R EY Z IH NG
84944,PERSUASIVENESS,P ER S W EY S IH V N AH S
84945,)RIGHT-PAREN,R AY T P ER EH N
84946,KINSTON,K IH N S T AH N
84947,HELL,HH EH L
84948,ACIDIC,AH S IH D IH K
84949,HEFFERN,HH EH F ER N
84950,CIRCULAR,S ER K Y AH L ER
84951,BETHELL,B EH TH AH L
84952,CHOREOGRAPHED,K AO R IY AH G R AE F T
84953,WE'RE,W ER
84954,GRITTER,G R IH T ER
84955,ZUZU,Z UW Z UW
84956,CHICO,CH IY K OW
84957,UNSECURED,AH N S IH K Y UH R D
84958,LUXURIANT,L AH G ZH ER IY AH N T
84959,WEICK,W IY K
84960,SATO,S AA T OW
84961,OFFICEHOLDERS,AO F AH S HH OW L D ER Z
84962,UNDUE,AH N D UW
84963,KOENIG,K ER N IH G
84964,THORESEN,TH AO R IY Z AH N
84965,SCHANER,SH EY N ER
84966,WHISTLES,W IH S AH L Z
84967,HAAR,HH AA R
84968,REFAH,R AH F AA
84969,MARTYRS,M AA R T ER Z
84970,ENFINGER,EH N F IH NG ER
84971,MORGANTOWN,M AO R G AH N T AW N
84972,INTERFERES,IH N T ER F IH R Z
84973,THURNHER,TH ER N ER
84974,CUTER,K Y UW T ER
84975,KOZIEL,K AA Z IY L
84976,VETERINARIAN,V EH T R AH N EH R IY AH N
84977,LEBRECHT,L EH B R IH K T
84978,DISINTEGRATION,D IH S IH N AH G R EY SH AH N
84979,DANOS,D EY N OW Z
84980,ALTAMIRA,AA L T AA M IH R AH
84981,SORPASSO,S AO R P AA S OW
84982,WAAG,W AA G
84983,UNTRUTHFUL,AH N T R UW TH F AH L
84984,MICKA,M IH K AH
84985,TEBBIT,T EH B IH T
84986,SARACENI,S AA R AA CH EH N IY
84987,ALLERTON,AE L ER T AH N
84988,EISENHOWER,AY Z AH N HH AW ER
84989,URGEN'S,ER JH EH N Z
84990,MICROPHONE,M AY K R AH F OW N
84991,JOCHUM,JH AA K AH M
84992,MANGO,M AE NG G OW
84993,SEABAUGH,S IY B AO
84994,LEVIS,L IY V AY Z
84995,ZASTROW,Z AE S T R OW
84996,CAPTIONING,K AE P SH AH N IH NG
84997,GINLEY,JH IH N L IY
84998,THUMP,TH AH M P
84999,KIRCHOFF,K ER K HH AO F
85000,BREITLING,B R AY T AH L IH NG
85001,BOOTLEG,B UW T L EH G
85002,USA,Y UW EH S EY
85003,MINISTRIES,M IH N IH S T R IY Z
85004,ABLOOM,AH B L UW M
85005,PRUNEDALE,P R UW N D EY L
85006,FIRECRACKER,F AY ER K R AE K ER
85007,IMPEACHMENT,IH M P IY CH M AH N T
85008,WEILD,W AY L D
85009,ELGAR'S,EH L G ER Z
85010,PREVENTING,P R IH V EH N IH NG
85011,SPREADSHEETS,S P R EH D SH IY T S
85012,DESERTIONS,D IH Z ER SH AH N Z
85013,CIGARS,S IH G AA R Z
85014,SLATHER,S L AE DH ER
85015,PASSWORD,P AE S W ER D
85016,CONFEREES,K AA N F ER IY Z
85017,SOCIABLE,S OW SH AH B AH L
85018,GET,G IH T
85019,FRESHLEY,F R EH SH L IY
85020,INCOMPETENTS,IH NG K AA M P AH T AH N T S
85021,GARTON,G AA R T AH N
85022,AUCTIONS,AA K SH AH N Z
85023,MCAFEE,M AE K AH F IY
85024,CLAPBOARD,K L AE P B AO R D
85025,NEAVE,N IY V
85026,PUERTO_RICAN,P W EH R T OW R IY K AH N
85027,OXIDIZING,AA K S AH D AY Z IH NG
85028,REVERBED,R IY V ER B D
85029,ACCURACY,AE K Y ER AH S IY
85030,ATTRIBUTION,AE T R IH B Y UW SH AH N
85031,APATHY,AE P AH TH IY
85032,HOMELESS,HH OW M L AH S
85033,YELLIN,Y EH L IH N
85034,LAPS,L AE P S
85035,AVERTING,AH V ER T IH NG
85036,CROCKERY,K R AA K ER IY
85037,ADEQUATE,AE D AH K W EY T
85038,FREDERICK,F R EH D ER IH K
85039,IDENTIKIT,AY D EH N T IH K IH T
85040,ENGROSSMENT,IH N G R OW S M AH N T
85041,VALVO,V AA L V OW
85042,MALCZEWSKI,M AH L CH EH F S K IY
85043,HALMOS,HH AO L M OW S
85044,PASQUINI,P AA S K W IY N IY
85045,AUBEL,AW B AH L
85046,TRAYS,T R EY Z
85047,BEAUCHENE,B OW SH EY N
85048,MOLDAVIAN,M OW L D AA V IY AH N
85049,LIBYAN,L IH B IY AH N
85050,TRAJAN'S,T R EY JH AH N Z
85051,TRUEST,T R UW IH S T
85052,SILGUERO,S IY L G EH R OW
85053,BRUEGGER,B R UW G ER
85054,INVITED,IH N V AY T IH D
85055,INDIFFERENT,IH N D IH F R AH N T
85056,CONTENDS,K AH N T EH N D Z
85057,AREHART,AE R IH HH AA R T
85058,GATLING,G AE T L IH NG
85059,SANTUCCI,S AA N T UW CH IY
85060,BODDY,B AA D IY
85061,DICAPRIO,D IH K AE P R IY OW
85062,CASHMERE,K AE ZH M IH R
85063,BELLINI'S,B EH L IY N IY Z
85064,YELTSIN'S,Y EH L T S AH N Z
85065,EGRESS,IH G R EH S
85066,BITLER,B AY T AH L ER
85067,CRISLIP,K R IH S L IH P
85068,SOBBING,S AA B IH NG
85069,FREAKSHOW,F R IY K S HH OW
85070,WRANGLE,R AE NG G AH L
85071,AZACTAM,AH Z AE K T AE M
85072,LECLI,L EH K L IY
85073,WHILE,W AY L
85074,JEPPESEN,JH EH P IY Z AH N
85075,SPURLING,S P ER L IH NG
85076,BOUNCES,B AW N S IH Z
85077,MEDDLING,M EH D AH L IH NG
85078,REFUGES,R EH F Y UW JH IH Z
85079,CONTRADICTING,K AA N T R AH D IH K T IH NG
85080,STERN'S,S T ER N Z
85081,KUBALA,K UW B AA L AH
85082,PLAINTIVELY,P L EY N T AY V L IY
85083,COMPLETION,K AH M P L IY SH AH N
85084,TELECABLE,T EH L AH K EY B AH L
85085,DYING,D AY IH NG
85086,WOLAK,W OW L AH K
85087,TIBBIE,T IH B IY
85088,LAPSES,L AE P S IH Z
85089,COAGULATING,K OW AE G Y AH L EY T IH NG
85090,ORCUTT,AO R K AH T
